"Sample_ID","Tree_Species","Latitude","Longitude","Years_Since_Burn","alpha_pinene","para_cymene","cedrol","Raw_Exit_Holes","Living_Larvae","Exit_Hole_Density"
"LOG-16S-SL12","Juniperus osteosperma",41.5719,-113.7488,2,0.6,0.4,37.5,0,0,0
"LOG-16S-SL11","Juniperus osteosperma",40.9202,-113.0017,3,1.4,0.3,14.2,10,0,0.00809061488673139
"LOG-16S-CC5","Juniperus osteosperma",37.5799,-113.0851,4,0.2,1.1,7.5,0,0,0
"LOG-16S-SL9","Juniperus osteosperma",39.9422,-112.7181,6,0.3,0.1,21.2,15,4,0.00536864710093057
"LOG-16S-SL8","Juniperus osteosperma",41.5335,-113.7096,7,0.1,0.1,17.9,8,1,0.00463499420625724
"LOG-16S-SL7","Juniperus osteosperma",40.8316,-112.4833,8,0,0.1,14.6,1,0,0.000761614623000762
"LOG-16S-SL6","Juniperus osteosperma",39.9785,-113.1177,9,0.1,0.5,39.9,0,0,0
"LOG-16S-SL4","Juniperus osteosperma",39.9885,-113.1322,11,0.2,0.6,37.3,7,0,0.00540540540540541
"LOG-16S-SL3","Juniperus osteosperma",41.5442,-113.6921,12,0.1,0.2,16.4,1,0,0.000453309156844968
"LOG-16S-SL2","Juniperus osteosperma",40.952,-112.8348,13,0.1,0.3,19,10,0,0.00582750582750583
"LOG-16S-CC4","Juniperus osteosperma",38.0547,-113.1844,15,1.9,0.7,15.7,35,0,0.0278662420382166
"LOG-16S-CC3","Juniperus osteosperma",38.4009,-113.8894,16,0,2.2,13.8,8,0,0.00397614314115308
"LOG-16S-P1","Juniperus scopulorum",39.7791,-110.8793,18,0,0,19.1,0,0,0
"LOG-16S-F1","Juniperus osteosperma",39.3052,-112.0301,19,0,0.5,6.9,11,0,0.0101289134438306
"LOG-16S-M1","Juniperus osteosperma",38.6792,-109.2999,20,0,3.4,4.6,0,0,0
"LOG-16S-CC2","Juniperus osteosperma",38.3633,-113.9149,21,0,0.1,16.9,7,0,0.00261682242990654
"LOG-16S-CC1","Juniperus osteosperma",38.2399,-112.8383,22,0.1,0.1,39.2,1,0,0.000546149645002731
"LOG-ITS2-SL12","Juniperus osteosperma",41.5719,-113.7488,2,0.6,0.4,37.5,0,0,0
"LOG-ITS2-SL11","Juniperus osteosperma",40.9202,-113.0017,3,1.4,0.3,14.2,10,0,0.00809061488673139
"LOG-ITS2-CC5","Juniperus osteosperma",37.5799,-113.0851,4,0.2,1.1,7.5,0,0,0
"LOG-ITS2-SL9","Juniperus osteosperma",39.9422,-112.7181,6,0.3,0.1,21.2,15,4,0.00536864710093057
"LOG-ITS2-SL8","Juniperus osteosperma",41.5335,-113.7096,7,0.1,0.1,17.9,8,1,0.00463499420625724
"LOG-ITS2-SL7","Juniperus osteosperma",40.8316,-112.4833,8,0,0.1,14.6,1,0,0.000761614623000762
"LOG-ITS2-SL6","Juniperus osteosperma",39.9785,-113.1177,9,0.1,0.5,39.9,0,0,0
"LOG-ITS2-SL4","Juniperus osteosperma",39.9885,-113.1322,11,0.2,0.6,37.3,7,0,0.00540540540540541
"LOG-ITS2-SL3","Juniperus osteosperma",41.5442,-113.6921,12,0.1,0.2,16.4,1,0,0.000453309156844968
"LOG-ITS2-SL2","Juniperus osteosperma",40.952,-112.8348,13,0.1,0.3,19,10,0,0.00582750582750583
"LOG-ITS2-CC4","Juniperus osteosperma",38.0547,-113.1844,15,1.9,0.7,15.7,35,0,0.0278662420382166
"LOG-ITS2-CC3","Juniperus osteosperma",38.4009,-113.8894,16,0,2.2,13.8,8,0,0.00397614314115308
"LOG-ITS2-P1","Juniperus scopulorum",39.7791,-110.8793,18,0,0,19.1,0,0,0
"LOG-ITS2-F1","Juniperus osteosperma",39.3052,-112.0301,19,0,0.5,6.9,11,0,0.0101289134438306
"LOG-ITS2-M1","Juniperus osteosperma",38.6792,-109.2999,20,0,3.4,4.6,0,0,0
"LOG-ITS2-CC2","Juniperus osteosperma",38.3633,-113.9149,21,0,0.1,16.9,7,0,0.00261682242990654
"LOG-ITS2-CC1","Juniperus osteosperma",38.2399,-112.8383,22,0.1,0.1,39.2,1,0,0.000546149645002731
